ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
202856_s_at	0.578	0.0005	-3.9836103	-0.52	-0.1504222	MIR6787///SLC16A3	microRNA 6787///solute carrier family 16 member 3
204813_at	0.578	0.000664	3.8739314	-0.721	0.2286879	MAPK10	mitogen-activated protein kinase 10
203446_s_at	0.578	0.000668	3.8715393	-0.725	0.1873649	OCRL	OCRL, inositol polyphosphate-5-phosphatase
213130_at	0.578	0.000733	-3.835059	-0.792	-0.1180946	ZNF473	zinc finger protein 473
209994_s_at	0.578	0.000736	-3.8335791	-0.795	-0.7483476	ABCB4///ABCB1	ATP binding cassette subfamily B member 4///ATP binding cassette subfamily B member 1
37549_g_at	0.578	0.00075	-3.8265755	-0.807	-0.2234014	BBS9	Bardet-Biedl syndrome 9
219110_at	0.578	0.000939	-3.7390184	-0.967	-0.328611	GAR1	GAR1 ribonucleoprotein
213543_at	0.578	0.001262	-3.6231176	-1.178	-0.3253428	SGCD	sarcoglycan delta
214209_s_at	0.578	0.001703	-3.504948	-1.393	-0.3483987	ABCB9	ATP binding cassette subfamily B member 9
221878_at	0.578	0.001799	-3.4833977	-1.432	-0.1310544	C2orf68	chromosome 2 open reading frame 68
204786_s_at	0.578	0.001803	-3.4823453	-1.434	-0.2752324	IFNAR2	interferon alpha and beta receptor subunit 2
32209_at	0.578	0.001812	3.4804185	-1.437	0.2541126	FAM89B	family with sequence similarity 89 member B
221654_s_at	0.578	0.001859	-3.470243	-1.455	-0.1691167	USP3	ubiquitin specific peptidase 3
213145_at	0.578	0.001898	-3.4621827	-1.47	-0.3793796	FBXL14	F-box and leucine rich repeat protein 14
200038_s_at	0.578	0.001911	3.4594052	-1.475	0.2289875	RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17	RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17
200032_s_at	0.578	0.001995	3.4422355	-1.506	0.2255813	RPL9	ribosomal protein L9
